slug,title,category,tier,base_exercise,prompt,status,filename
cable_row_silver,Remo en polea — Plata,strength,silver,cable_row,"Flat fitness app achievement badge, seated cable row with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,cable_row_silver.png
cable_row_gold,Remo en polea — Oro,strength,gold,cable_row,"Flat fitness app achievement badge, seated cable row with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,cable_row_gold.png
pull_up_bronze,Dominada — Bronce,strength,bronze,pull_up,"Flat fitness app achievement badge, athlete doing pull-up on bar with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,pull_up_bronze.png
pull_up_silver,Dominada — Plata,strength,silver,pull_up,"Flat fitness app achievement badge, athlete doing pull-up on bar with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,pull_up_silver.png
pull_up_gold,Dominada — Oro,strength,gold,pull_up,"Flat fitness app achievement badge, athlete doing pull-up on bar with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,pull_up_gold.png
dips_bronze,Fondos de pecho — Bronce,strength,bronze,dips,"Flat fitness app achievement badge, parallel bar chest dips with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,dips_bronze.png
dips_silver,Fondos de pecho — Plata,strength,silver,dips,"Flat fitness app achievement badge, parallel bar chest dips with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,dips_silver.png
dips_gold,Fondos de pecho — Oro,strength,gold,dips,"Flat fitness app achievement badge, parallel bar chest dips with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,dips_gold.png
first_workout,Primera sesión,consistency,,,"Flat fitness app achievement badge, symbol of first gym workout finish flag and dumbbell, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,first_workout.png
week_streak_4,Racha de hierro,consistency,,,"Flat fitness app achievement badge, symbol of flame streak four weeks consistency, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,week_streak_4.png
week_streak_8,Imparable,consistency,,,"Flat fitness app achievement badge, symbol of intense fire streak eight weeks, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,week_streak_8.png
week_streak_12,Máquina de constancia,consistency,,,"Flat fitness app achievement badge, symbol of lightning bolt twelve week gym streak, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,week_streak_12.png
days_30,30 días activo,consistency,,,"Flat fitness app achievement badge, symbol of calendar thirty active workout days, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,days_30.png
days_100,Centenario,consistency,,,"Flat fitness app achievement badge, symbol of calendar hundred workout days milestone, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,days_100.png
year_1,Un año con Heft,consistency,,,"Flat fitness app achievement badge, symbol of birthday cake one year fitness anniversary, category constancia, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,year_1.png
sessions_10,Novato constante,volume,,,"Flat fitness app achievement badge, symbol of ten workout sessions badge, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,sessions_10.png
sessions_50,Veterano,volume,,,"Flat fitness app achievement badge, symbol of fifty workouts veteran medal, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,sessions_50.png
sessions_100,Centurión del gym,volume,,,"Flat fitness app achievement badge, symbol of hundred workouts centurion shield, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,sessions_100.png
sets_500,500 series,volume,,,"Flat fitness app achievement badge, symbol of five hundred completed sets stacked plates, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,sets_500.png
sets_2000,Fabricante de series,volume,,,"Flat fitness app achievement badge, symbol of two thousand sets volume factory gears, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,sets_2000.png
volume_10t,10 toneladas,volume,,,"Flat fitness app achievement badge, symbol of ten ton weight scale ten thousand kg, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,volume_10t.png
volume_50t,Levantador de hierro,volume,,,"Flat fitness app achievement badge, symbol of massive iron volume fifty tons lifted, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,volume_50t.png
long_session_90,Sesión maratón,volume,,,"Flat fitness app achievement badge, symbol of stopwatch ninety minute marathon workout, category volumen, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,long_session_90.png
first_pr,Primer récord,records,,,"Flat fitness app achievement badge, symbol of personal record arrow breaking weight plate, category records, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,first_pr.png
pr_5_exercises,Multirrécord,records,,,"Flat fitness app achievement badge, symbol of leaderboard five exercise personal records, category records, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,pr_5_exercises.png
pr_big3,Tríada de poder,records,,,"Flat fitness app achievement badge, symbol of trophy bench squat deadlift big three, category records, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,pr_big3.png
progress_10pct,+10 % de fuerza,records,,,"Flat fitness app achievement badge, symbol of strength chart ten percent progress arrow up, category records, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,progress_10pct.png
body_first_entry,Línea de salida,body_progress,,,"Flat fitness app achievement badge, symbol of tape measure first body measurement, category progreso corporal, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,body_first_entry.png
body_5_entries,Seguimiento activo,body_progress,,,"Flat fitness app achievement badge, symbol of weight scale five body progress entries, category progreso corporal, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,body_5_entries.png
body_photo,Antes y después,body_progress,,,"Flat fitness app achievement badge, symbol of camera before after progress photo, category progreso corporal, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,body_photo.png
body_3_photos,Álbum de evolución,body_progress,,,"Flat fitness app achievement badge, symbol of photo album three body progress pictures, category progreso corporal, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,body_3_photos.png
routine_first,Mi primera rutina,routines,,,"Flat fitness app achievement badge, symbol of first workout routine checklist playlist, category rutinas, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,routine_first.png
routine_5,Planificador,routines,,,"Flat fitness app achievement badge, symbol of five workout routines planner list, category rutinas, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,routine_5.png
exercises_20,Explorador,routines,,,"Flat fitness app achievement badge, symbol of compass twenty different exercises explored, category rutinas, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,exercises_20.png
exercises_50,Polivalente,routines,,,"Flat fitness app achievement badge, symbol of hub fifty exercises versatile training, category rutinas, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,exercises_50.png
custom_exercise,Inventor,routines,,,"Flat fitness app achievement badge, symbol of lightbulb custom invented exercise, category rutinas, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,custom_exercise.png
onboarding_done,Perfil completo,profile,,,"Flat fitness app achievement badge, symbol of profile checkmark completed setup, category perfil, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,onboarding_done.png
profile_photo,Cara visible,profile,,,"Flat fitness app achievement badge, symbol of user avatar profile picture badge, category perfil, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,profile_photo.png
night_owl,Búho del gym,special,,,"Flat fitness app achievement badge, symbol of moon and dumbbell night gym owl, category especiales, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,night_owl.png
early_bird,Madrugador,special,,,"Flat fitness app achievement badge, symbol of sunrise dumbbell early morning workout, category especiales, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,early_bird.png
weekend_warrior,Guerrero de finde,special,,,"Flat fitness app achievement badge, symbol of weekend calendar saturday sunday gym, category especiales, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,weekend_warrior.png
full_body_week,Cuerpo completo,special,,,"Flat fitness app achievement badge, symbol of full body muscle groups chest back legs shoulders, category especiales, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,full_body_week.png
rpe_tracker,Datos al detalle,special,,,"Flat fitness app achievement badge, symbol of analytics chart RPE training data, category especiales, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,rpe_tracker.png
comeback,La vuelta,special,,,"Flat fitness app achievement badge, symbol of replay return arrow comeback after break, category especiales, same Heft style: minimal vector, lime accent #E2F163, dark background, no text, centered icon, 512x512, readable at small size",pending,comeback.png
